"count","slice_num","gene","coord_x","coord_y"
2,29,"Slc17a7",6.85960727540303,4.81108751875908
1,29,"Tac2",6.91602258962633,4.80148050892669
3,29,"Slc17a7",6.91602258962633,4.80148050892669
4,29,"Slc17a7",8.94326647405966,0.736269163208529
3,29,"Slc17a7",4.40983374581751,5.08893151424966
1,29,"Pvalb",4.71867804278589,4.96943814798118
3,29,"Slc17a7",4.71867804278589,4.96943814798118
4,29,"Slc17a7",2.9034808292887,4.95462279163831
20,29,"Slc17a7",4.22252798858097,5.00502855908933
1,29,"Pvalb",3.70171962722204,5.01938887509596
35,29,"Slc17a7",3.70171962722204,5.01938887509596
1,29,"Tac2",3.31355809469879,4.85341269184156
9,29,"Slc17a7",3.31355809469879,4.85341269184156
6,29,"Pvalb",2.96350263374035,3.03037193325893
3,29,"Slc17a7",2.52187140094192,0.5777255247831
3,29,"Slc17a7",6.99579640658457,5.31354129345384
72,29,"Slc17a7",9.92988148421596,2.84170606033938
8,29,"Slc17a7",6.89251597696641,5.28617631900365
20,29,"Slc17a7",3.69998961358129,4.80114369079182
5,29,"Slc17a7",7.14192890870222,1.72010752275984
4,29,"Slc17a7",3.60545853973699,4.64078635142582
1,29,"Slc17a7",8.02022803356342,4.98614131885191
2,29,"Pvalb",5.27020170342085,5.27308104169208
8,29,"Slc17a7",5.27020170342085,5.27308104169208
1,29,"Pvalb",3.43365798350837,5.21793605172086
2,29,"Slc17a7",3.43365798350837,5.21793605172086
3,29,"Slc17a7",4.18032948125047,5.23918483096845
11,29,"Slc17a7",6.53797405317786,5.06229963000888
1,29,"Tac2",7.09254997294927,1.57270160316975
8,29,"Slc17a7",7.09254997294927,1.57270160316975
4,29,"Slc17a7",2.95090387114731,4.90212655682283
1,29,"Vip",2.95090387114731,4.90212655682283
12,29,"Slc17a7",7.45313815352274,5.29515653878992
2,29,"Slc17a7",7.32025900046974,4.71922100167708
1,29,"Pvalb",8.07865052054541,4.85315082754836
2,29,"Slc17a7",8.07865052054541,4.85315082754836
3,29,"Tac2",6.71010090802196,4.84452003868531
1,29,"Slc17a7",6.71010090802196,4.84452003868531
2,29,"Slc17a7",5.43161651150971,5.6409788103289
10,29,"Slc17a7",2.90635476633856,4.76235709478313
8,29,"Slc17a7",3.89378826283776,1.67488988193941
3,29,"Slc17a7",7.31043785269805,4.72092645933773
1,29,"Pvalb",6.77521275319552,5.22983501683144
14,29,"Slc17a7",6.77521275319552,5.22983501683144
3,29,"Slc17a7",6.96466457322853,5.30232561633186
10,29,"Slc17a7",4.54519696758212,4.88919796799038
1,29,"Pvalb",3.9021869395379,4.75443793130981
5,29,"Slc17a7",3.9021869395379,4.75443793130981
17,29,"Slc17a7",8.09166001913742,4.7131489733794
1,29,"Tac2",2.98740261940108,4.97488901951402
4,29,"Slc17a7",2.98740261940108,4.97488901951402
1,29,"Vip",2.98740261940108,4.97488901951402
13,29,"Slc17a7",4.09429089169194,4.83049781778323
1,29,"Pvalb",3.72313818151191,5.32294187798644
7,29,"Slc17a7",3.72313818151191,5.32294187798644
1,29,"Pvalb",3.22223164915677,5.11718396362808
1,29,"Slc17a7",3.22223164915677,5.11718396362808
2,29,"Slc17a7",2.95719948962734,4.96338123344313
1,29,"Vip",2.95719948962734,4.96338123344313
16,29,"Slc17a7",3.93168667518588,1.58464382702561
4,29,"Slc17a7",3.83404540179877,5.31941257711569
2,29,"Slc17a7",3.6863435637376,1.87649296602427
3,29,"Slc17a7",8.13619071093877,4.84749820684026
3,29,"Slc17a7",4.85884999287995,4.97706262035624
11,29,"Slc17a7",3.92748249191305,1.61093348958159
5,29,"Slc17a7",4.33310820001061,6.90231249093711
7,29,"Slc17a7",3.698645228434,4.67861943265841
1,29,"Slc17a7",7.14406052866882,1.69954216400984
1,29,"Tac2",3.73200641096333,4.74034994594443
5,29,"Slc17a7",3.73200641096333,4.74034994594443
1,29,"Vip",3.73200641096333,4.74034994594443
9,29,"Slc17a7",8.12130541453308,4.75553563946321
1,29,"Pvalb",4.9246102718069,4.99073790679641
9,29,"Slc17a7",4.9246102718069,4.99073790679641
1,29,"Vip",4.9246102718069,4.99073790679641
3,29,"Slc17a7",2.99549203529559,4.96166314631494
9,29,"Slc17a7",5.5821594247024,5.30567823181388
4,29,"Slc17a7",0.636407283379293,2.84154689137287
