"count","bin","celltype","gene","mouse","cell_num","hemisphere","age"
1,93,"Glut","BCL11B","1","1527462100129100147","left","12"
0,96,"Glut","BCL11B","1","1527462100129100150","left","12"
0,96,"Glut","BCL11B","1","1527462100129100152","left","12"
0,94,"Glut","BCL11B","1","1527462100129100157","left","12"
0,95,"Glut","BCL11B","1","1527462100129100158","left","12"
0,92,"Glut","BCL11B","1","1527462100129100159","left","12"
0,94,"Glut","BCL11B","1","1527462100129100162","left","12"
0,97,"Glut","BCL11B","1","1527462100129100164","left","12"
0,94,"GABA","BCL11B","1","1527462100129100166","left","12"
0,96,"Glut","BCL11B","1","1527462100129100169","left","12"
0,96,"Glut","BCL11B","1","1527462100129100170","left","12"
0,94,"GABA","BCL11B","1","1527462100129100171","left","12"
0,97,"Glut","BCL11B","1","1527462100129100172","left","12"
0,90,"Glut","BCL11B","1","1527462100129100175","left","12"
0,93,"Glut","BCL11B","1","1527462100129100178","left","12"
0,89,"Glut","BCL11B","1","1527462100129100185","left","12"
1,96,"Glut","BCL11B","1","1527462100129100189","left","12"
0,92,"Glut","BCL11B","1","1527462100129100192","left","12"
0,90,"Glut","BCL11B","1","1527462100129100193","left","12"
0,92,"Glut","BCL11B","1","1527462100129100194","left","12"
0,93,"Glut","BCL11B","1","1527462100129100195","left","12"
0,94,"Glut","BCL11B","1","1527462100129100196","left","12"
0,88,"Glut","BCL11B","1","1527462100129100197","left","12"
0,89,"Glut","BCL11B","1","1527462100129100201","left","12"
0,94,"Glut","BCL11B","1","1527462100129100203","left","12"
0,89,"GABA","BCL11B","1","1527462100129100204","left","12"
0,90,"Glut","BCL11B","1","1527462100129100205","left","12"
0,90,"Glut","BCL11B","1","1527462100129100206","left","12"
1,92,"Glut","BCL11B","1","1527462100129100207","left","12"
0,93,"Glut","BCL11B","1","1527462100129100208","left","12"
0,91,"Glut","BCL11B","1","1527462100129100209","left","12"
0,87,"Glut","BCL11B","1","1527462100129100210","left","12"
0,91,"Glut","BCL11B","1","1527462100129100211","left","12"
0,89,"Glut","BCL11B","1","1527462100129100216","left","12"
0,92,"Glut","BCL11B","1","1527462100129100217","left","12"
0,87,"Glut","BCL11B","1","1527462100129100218","left","12"
0,93,"Glut","BCL11B","1","1527462100129100222","left","12"
0,93,"Glut","BCL11B","1","1527462100129100224","left","12"
0,89,"Glut","BCL11B","1","1527462100129100225","left","12"
0,92,"Glut","BCL11B","1","1527462100129100227","left","12"
0,88,"Glut","BCL11B","1","1527462100129100232","left","12"
0,92,"Glut","BCL11B","1","1527462100129100233","left","12"
1,86,"Glut","BCL11B","1","1527462100129100235","left","12"
0,87,"Glut","BCL11B","1","1527462100129100237","left","12"
0,89,"Glut","BCL11B","1","1527462100129100238","left","12"
0,90,"Glut","BCL11B","1","1527462100129100239","left","12"
0,89,"Glut","BCL11B","1","1527462100129100243","left","12"
0,86,"Glut","BCL11B","1","1527462100129100244","left","12"
1,88,"GABA","BCL11B","1","1527462100129100245","left","12"
0,90,"Glut","BCL11B","1","1527462100129100246","left","12"
1,86,"Glut","BCL11B","1","1527462100129100249","left","12"
0,86,"Glut","BCL11B","1","1527462100129100251","left","12"
0,87,"Glut","BCL11B","1","1527462100129100257","left","12"
0,90,"Glut","BCL11B","1","1527462100129100259","left","12"
0,87,"Glut","BCL11B","1","1527462100129100260","left","12"
0,87,"Glut","BCL11B","1","1527462100129100262","left","12"
0,87,"Glut","BCL11B","1","1527462100129100263","left","12"
1,89,"Glut","BCL11B","1","1527462100129100265","left","12"
0,84,"Glut","BCL11B","1","1527462100129100267","left","12"
0,85,"Glut","BCL11B","1","1527462100129100268","left","12"
0,84,"Glut","BCL11B","1","1527462100129100270","left","12"
1,83,"Glut","BCL11B","1","1527462100129100273","left","12"
0,88,"Glut","BCL11B","1","1527462100129100279","left","12"
0,82,"Glut","BCL11B","1","1527462100129100282","left","12"
0,85,"Glut","BCL11B","1","1527462100129100288","left","12"
0,88,"Glut","BCL11B","1","1527462100129100290","left","12"
0,83,"Glut","BCL11B","1","1527462100129100292","left","12"
0,84,"Glut","BCL11B","1","1527462100129100298","left","12"
0,92,"Glut","BCL11B","1","1527462100129200153","left","12"
0,88,"Glut","BCL11B","1","1527462100129200185","left","12"
0,87,"Glut","BCL11B","1","1527462100129200246","left","12"
0,85,"Glut","BCL11B","1","1527462100129200253","left","12"
