"","parameter","estimate","CI.low","CI.high","p.value","p.value.adj","alpha.adj","significance"
"192","wfactor_slope_4_X_Cux2",0.0173726785967343,-0.225241374797982,0.62881795928442,0.902989566613162,7.2239165329053,0.00625,"ns"
"193","wfactor_point_1_X_Fezf2",0.19096596923654,-0.138133720073801,0.345972481335778,0.0092295345104334,1.07062600321027,0.000431034482758621,"ns"
"194","wfactor_rate_1_X_Fezf2",0.21562190745669,0.164713964544547,0.237823367091011,0,0,0.000294117647058824,"***"
"195","wfactor_slope_1_X_Fezf2",0.451200615378379,0.0620452183014744,1.41466057955369,0.000802568218298605,0.10914927768861,0.000367647058823529,"ns"
"196","wfactor_point_2_X_Fezf2",0.24159501675845,0.0374732840441728,0.3649047384813,0,0,0.00029585798816568,"***"
"197","wfactor_rate_2_X_Fezf2",0.200679782542826,0.124081331310116,0.218287159259278,0,0,0.000297619047619048,"***"
"198","wfactor_slope_2_X_Fezf2",0.475237527317512,0.0412450657432395,0.856252043275723,0.000200642054574596,0.0298956661316148,0.000335570469798658,"*"
"199","wfactor_point_3_X_Fezf2",-0.41873942496226,-0.553583417700464,-0.0322637926285853,0.000200642054574596,0.0296950240770402,0.000337837837837838,"*"
"200","wfactor_rate_3_X_Fezf2",-0.33918598204968,-0.403816413593932,-0.311334788152784,0,0,0.00029940119760479,"***"
"201","wfactor_slope_3_X_Fezf2",-0.395960754463184,-0.670969309463687,0.778992136781554,0.108447030497592,7.59129213483146,0.000714285714285714,"ns"
"202","wfactor_point_4_X_Fezf2",-0.37034007607889,-0.521545235593867,-0.168943002737579,0,0,0.000301204819277108,"***"
"203","wfactor_rate_4_X_Fezf2",-0.323071092264368,-0.373039216220971,-0.301817992073157,0,0,0.000303030303030303,"***"
"204","wfactor_slope_4_X_Fezf2",0.368254285701544,-0.447614982162496,1.04794871908418,0.11416532905297,7.64907704654896,0.000746268656716418,"ns"
"205","wfactor_point_1_X_Nxph3",0.193937147408858,-0.26459529819988,0.419519649029569,0.0153491171749599,1.62700642054575,0.000471698113207547,"ns"
"206","wfactor_rate_1_X_Nxph3",-0.071473600795136,-0.210772871663697,0.065833656727124,0.0368178170144462,3.3504213483146,0.000549450549450549,"ns"
"207","wfactor_slope_1_X_Nxph3",0.494992259552997,-0.526690528850682,4.06980138899477,0.152186998394864,8.97903290529695,0.000847457627118644,"ns"
"208","wfactor_point_2_X_Nxph3",0.326548474807134,0.210575129524795,0.442889389947432,0,0,0.000304878048780488,"***"
"209","wfactor_rate_2_X_Nxph3",0.161004741182901,0.0777290593310724,0.189515068578061,0,0,0.000306748466257669,"***"
"210","wfactor_slope_2_X_Nxph3",-0.0699267540005353,-0.430202305287038,0.771501486188586,0.770264847512038,12.3242375601926,0.003125,"ns"
"211","wfactor_point_3_X_Nxph3",-0.258367492234138,-0.409315263695434,0.121493664804089,0.0029093097913323,0.369482343499203,0.000393700787401575,"ns"
"212","wfactor_rate_3_X_Nxph3",-0.179522251955947,-0.257904233105134,-0.139437161535377,0,0,0.000308641975308642,"***"
"213","wfactor_slope_3_X_Nxph3",0.910635031791228,-0.0679503220824242,5.07439106563108,0.040529695024077,3.64767255216693,0.000555555555555556,"ns"
"214","wfactor_point_4_X_Nxph3",-0.455628483051352,-0.579466027203365,-0.159894242602499,0,0,0.00031055900621118,"***"
"215","wfactor_rate_4_X_Nxph3",-0.253576645298943,-0.326883267431682,-0.225527839326625,0,0,0.0003125,"***"
"216","wfactor_slope_4_X_Nxph3",0.742488435149579,-0.101958239636619,3.89527288700287,0.016653290529695,1.73194221508828,0.000480769230769231,"ns"
"217","wfactor_point_1_X_Rorb",0.129261464053072,-0.152115962272684,0.36016057321529,0.0426364365971108,3.70936998394864,0.000574712643678161,"ns"
"218","wfactor_rate_1_X_Rorb",0.208115237678676,0.105925713477825,0.225069731243467,0,0,0.000314465408805031,"***"
"219","wfactor_slope_1_X_Rorb",0.650979097421766,0.00238122706537807,3.94262217570058,0.131420545746388,8.14807383627608,0.000806451612903226,"ns"
"220","wfactor_point_2_X_Rorb",0.0689662915808407,-0.25171224278888,0.371136404679067,0.480136436597111,14.4040930979133,0.00166666666666667,"ns"
"221","wfactor_rate_2_X_Rorb",-0.0857810407322078,-0.192128568939699,0.0523601872568214,0.0099317817014446,1.14215489566613,0.000434782608695652,"ns"
